,date,position,track_id,track_name,artist,streams
291409,2020-12-31,10,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,162709
291422,2020-12-31,23,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,123160
291425,2020-12-31,26,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Chris Brown,117797
291443,2020-12-31,44,7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,87667
291497,2020-12-31,98,6zFMeegAMYQo0mt8rXtrli,HOLIDAY,Lil Nas X,52236
291506,2020-12-31,107,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Lil Mosey,49317
291530,2020-12-31,131,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,43530
291532,2020-12-31,133,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,43070
291587,2020-12-31,188,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,34431
