,date,position,track_id,track_name,artist,streams
215002,2019-12-15,3,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,204217
215023,2019-12-15,24,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,118883
215152,2019-12-15,153,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,29435
