,date,position,track_id,track_name,artist,streams
209048,2019-11-15,49,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,72855
209090,2019-11-15,91,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,43030
