,date,position,track_id,track_name,artist,streams
221205,2020-01-15,6,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,243606
221261,2020-01-15,62,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,60046
221262,2020-01-15,63,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,59915
221389,2020-01-15,190,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,26054
