date,streams
2018-03-18,27010
2018-03-19,28972
2018-03-20,28590
2018-03-21,27529
2018-03-22,27073
2018-03-23,27950
2018-03-24,26702
2018-03-25,25642
2018-03-26,27794
2018-03-27,27310
2018-03-28,27556
2018-03-29,24723
2018-03-30,21296
2018-03-31,21970
2018-04-01,22937
2018-04-02,25973
2018-04-03,25852
2018-04-04,25381
2018-04-05,24893
2018-04-06,25558
2018-04-07,24070
2018-04-08,22543
2018-04-09,24172
2018-04-10,24787
2018-04-11,24746
2018-04-12,24360
2018-04-13,23462
2018-04-14,22224
2018-04-15,20207
2018-04-16,22399
2018-04-17,22656
2018-04-18,22503
2018-04-19,22301
2018-04-20,22328
2018-04-26,20375
2018-04-27,98578
2018-04-28,107806
2018-04-29,104154
2018-04-30,112696
2018-05-01,111099
2018-05-02,123050
2018-05-03,125351
2018-05-04,138962
2018-05-05,130699
2018-05-06,131990
2018-05-07,176093
2018-05-08,189455
2018-05-09,205614
2018-05-10,220153
2018-05-11,230981
2018-05-12,224459
2018-05-13,193058
2018-05-14,211457
2018-05-15,231226
2018-05-16,236189
2018-05-17,227724
2018-05-18,225283
2018-05-19,200807
2018-05-20,196179
2018-05-21,221579
2018-05-22,220297
2018-05-23,217013
2018-05-24,212098
2018-05-25,201293
2018-05-26,182423
2018-05-27,172230
2018-05-28,190689
2018-05-29,185089
2018-05-30,187058
2018-05-31,183860
2018-06-01,180367
2018-06-02,164869
2018-06-03,160431
2018-06-04,174204
2018-06-05,179996
2018-06-06,177093
2018-06-07,176662
2018-06-08,184214
2018-06-09,160553
2018-06-10,157574
2018-06-11,174114
2018-06-12,172657
2018-06-13,180874
2018-06-14,203013
2018-06-15,185406
2018-06-16,179347
2018-06-17,178019
2018-06-18,196899
2018-06-19,324986
2018-06-20,289273
2018-06-21,286355
2018-06-22,282810
2018-06-23,276846
2018-06-24,262151
2018-06-25,268605
2018-06-26,274171
2018-06-27,272564
2018-06-28,249029
2018-06-29,234505
2018-06-30,210946
2018-07-01,176178
2018-07-02,182188
2018-07-03,189287
2018-07-04,188068
2018-07-05,190982
2018-07-06,188239
2018-07-07,184861
2018-07-08,175949
2018-07-09,186015
2018-07-10,184197
2018-07-11,183285
2018-07-12,192760
2018-07-13,191031
2018-07-14,190615
2018-07-15,174607
2018-07-16,187647
2018-07-17,184088
2018-07-18,194555
2018-07-19,191712
2018-07-20,260971
2018-07-21,237124
2018-07-22,211028
2018-07-23,215964
2018-07-24,210868
2018-07-25,204305
2018-07-26,177403
2018-07-27,214393
2018-07-28,207676
2018-07-29,175314
2018-07-30,159664
2018-07-31,161335
2018-08-01,158172
2018-08-02,157680
2018-08-03,155399
2018-08-04,174787
2018-08-05,166436
2018-08-06,172177
2018-08-07,176129
2018-08-08,175795
2018-08-09,173663
2018-08-10,171745
2018-08-11,165333
2018-08-12,153282
2018-08-13,168448
2018-08-14,167844
2018-08-15,171792
2018-08-16,169743
2018-08-17,169695
2018-08-18,163670
2018-08-19,151713
2018-08-20,152099
2018-08-21,159036
2018-08-22,156498
2018-08-23,153277
2018-08-24,157289
2018-08-25,155176
2018-08-26,144606
2018-08-27,157088
2018-08-28,153432
2018-08-29,151878
2018-08-30,151390
2018-08-31,150554
2018-09-01,188964
2018-09-02,181663
2018-09-03,175070
2018-09-04,178147
2018-09-05,181743
2018-09-06,174834
2018-09-07,177916
2018-09-08,163282
2018-09-09,152830
2018-09-10,135363
2018-09-11,131513
2018-09-12,128520
2018-09-13,149294
2018-09-14,148804
2018-09-15,132624
2018-09-16,138818
2018-09-17,126504
2018-09-18,127945
2018-09-19,125602
2018-09-20,123545
2018-09-21,130291
2018-09-22,146214
2018-09-23,137360
2018-09-24,118571
2018-09-25,115296
2018-09-26,116734
2018-09-27,119079
2018-09-28,116558
2018-09-29,133100
2018-09-30,102667
2018-10-01,105636
2018-10-02,85295
2018-10-03,84814
2018-10-04,86704
2018-10-05,105924
2018-10-06,120950
2018-10-07,72990
2018-10-08,53995
2018-10-09,54573
2018-10-10,55332
2018-10-11,56755
2018-10-12,75926
2018-10-13,75404
2018-10-14,72184
2018-10-15,77563
2018-10-16,55177
2018-10-17,56228
2018-10-18,58421
2018-10-19,81956
2018-10-20,104059
2018-10-21,101265
2018-10-22,63995
2018-10-23,62270
2018-10-24,63430
2018-10-25,63336
2018-10-26,86994
2018-10-27,83607
2018-10-28,96906
2018-10-29,84966
2018-10-30,62097
2018-10-31,89821
2018-11-01,78757
2018-11-02,79078
2018-11-03,78166
2018-11-04,58043
2018-11-05,61918
2018-11-06,62686
2018-11-07,63521
2018-11-08,62879
2018-11-09,67100
2018-11-10,69688
2018-11-11,65176
2018-11-12,68079
2018-11-13,69220
2018-11-14,70075
2018-11-15,70107
2018-11-16,70617
2018-11-17,71078
2018-11-18,66662
2018-11-19,69734
2018-11-20,71401
2018-11-21,71793
2018-11-22,74809
2018-11-23,76407
2018-11-24,74230
2018-11-25,70445
2018-11-26,73056
2018-11-27,73105
2018-11-28,72950
2018-11-29,73677
2018-11-30,75057
2018-12-01,65629
2018-12-02,63612
2018-12-03,63612
2018-12-04,64894
2018-12-05,64882
2018-12-06,90089
2018-12-07,90416
2018-12-08,93256
2018-12-09,86575
2018-12-10,112247
2018-12-11,143975
2018-12-12,147679
2018-12-13,153295
2018-12-14,151606
2018-12-15,153917
2018-12-16,142553
2018-12-17,138836
2018-12-18,121636
2018-12-19,119735
2018-12-20,122304
2018-12-21,145434
2018-12-22,144069
2018-12-23,110166
2018-12-24,124494
2018-12-25,121226
2018-12-26,111531
2018-12-27,139345
2018-12-28,114347
2018-12-29,132051
2018-12-30,129506
2018-12-31,229900
2019-01-01,119091
2019-01-02,140677
2019-01-03,142124
2019-01-04,141713
2019-01-05,138287
2019-01-06,131855
2019-01-07,119404
2019-01-08,95498
2019-01-09,94477
2019-01-10,97384
2019-01-11,124828
2019-01-12,125887
2019-01-13,118536
2019-01-14,127357
2019-01-15,124486
2019-01-16,123984
2019-01-17,124469
2019-01-18,123846
2019-01-19,118305
2019-01-20,106804
2019-01-21,95011
2019-01-22,96036
2019-01-23,96735
2019-01-24,124417
2019-01-25,124716
2019-01-26,140851
2019-01-27,134192
2019-01-28,142345
2019-01-29,142607
2019-01-30,142315
2019-01-31,115842
2019-02-01,116656
2019-02-02,113874
2019-02-03,107510
2019-02-04,112585
2019-02-05,146189
2019-02-06,146368
2019-02-07,145383
2019-02-08,143679
2019-02-09,139317
2019-02-10,133203
2019-02-11,165367
2019-02-12,135077
2019-02-13,133027
2019-02-14,126716
2019-02-15,121723
2019-02-16,113325
2019-02-17,108977
2019-02-18,124852
2019-02-19,126742
2019-02-20,127683
2019-02-21,126708
2019-02-22,122777
2019-02-23,95451
2019-02-24,84200
2019-02-25,93016
2019-02-26,91820
2019-02-27,95269
2019-02-28,94841
2019-03-01,95021
2019-03-02,91407
2019-03-03,85720
2019-03-04,90921
2019-03-05,92993
2019-03-06,93513
2019-03-07,94631
2019-03-08,94292
2019-03-09,91771
2019-03-10,84966
2019-03-11,90464
2019-03-12,89339
2019-03-13,91026
2019-03-14,88985
2019-03-15,89420
2019-03-16,86207
2019-03-17,79374
2019-03-18,84818
2019-03-19,86639
2019-03-20,86307
2019-03-21,86973
2019-03-22,88322
2019-03-23,80669
2019-03-24,74667
2019-03-25,79584
2019-03-26,58800
2019-03-27,81753
2019-03-28,58564
2019-03-29,82416
2019-03-30,76630
2019-03-31,49612
2019-04-01,53674
2019-04-02,29279
2019-04-03,30103
2019-04-04,30275
2019-04-05,29991
2019-04-06,27780
2019-04-07,26727
2019-04-08,28463
2019-04-09,27854
2019-04-10,29670
2019-04-11,27879
2019-04-12,29618
2019-04-13,26480
2019-04-14,24987
2019-04-15,27411
2019-04-16,28213
2019-04-17,28559
2019-04-18,24647
2019-04-19,22097
2019-04-20,24200
2019-04-21,24893
2019-04-22,26070
2019-04-23,25743
2019-04-24,25699
2019-04-25,25757
2019-04-26,26068
2019-04-27,24165
2019-04-28,22909
2019-04-29,24842
2019-04-30,25736
2019-05-01,24049
2019-05-02,26169
2019-05-03,25669
2019-05-04,22782
2019-05-05,22118
2019-05-06,23418
2019-05-08,23718
2019-05-11,22153
2019-05-12,20161
2019-05-13,19909
2019-05-28,25609
2019-05-29,28541
2019-05-30,29324
2019-05-31,29707
2019-06-01,27576
2019-06-02,26941
2019-06-03,27874
2019-06-04,26153
2019-06-05,24582
2019-06-06,24394
2019-06-10,23262
2019-06-12,22154
2019-06-13,23368
2019-06-16,27746
2019-06-17,57754
2019-06-18,35199
2019-06-19,34078
2019-06-20,33701
2019-06-21,40879
2019-06-22,35543
2019-06-23,33617
2019-06-24,41218
2019-06-25,40649
2019-06-26,43029
2019-06-27,47099
2019-06-28,45143
2019-06-29,38910
2019-06-30,37727
2019-07-01,37960
2019-07-02,36409
2019-07-03,36083
2019-07-04,37087
2019-07-05,34805
2019-07-06,30267
2019-07-07,27176
2019-07-08,29777
2019-07-09,31132
2019-07-10,30827
2019-07-11,30883
2019-07-12,31821
2019-07-13,31631
2019-07-14,29058
2019-07-15,31964
2019-07-16,31158
2019-07-17,30095
2019-07-18,29856
2019-07-19,29172
2019-07-20,26647
2019-07-21,23617
2019-07-22,26498
2019-07-23,26332
2019-07-24,25662
2019-07-25,25399
2019-07-26,25869
2019-07-27,24239
2019-07-28,22264
2019-07-29,24540
2019-07-30,25449
2019-07-31,26082
2019-08-01,26920
2019-08-02,27669
2019-08-03,26068
2019-08-04,24392
2019-08-05,27373
2019-08-06,27466
2019-08-07,26315
2019-08-08,26245
2019-08-09,26297
2019-08-10,25821
2019-08-11,22400
2019-08-12,24934
2019-08-13,25617
2019-08-14,25365
2019-08-15,25859
2019-08-16,25723
2019-08-17,24048
2019-10-04,44391
2019-10-05,57790
2019-10-06,58606
2019-10-07,61978
2019-10-08,60642
2019-10-09,59784
2019-10-10,61003
2019-10-11,58752
2019-10-12,58250
2019-10-13,55790
2019-10-14,61055
2019-10-15,64346
2019-10-16,84445
2019-10-17,95440
2019-10-18,96155
2019-10-19,90737
2019-10-20,88436
2019-10-21,93216
2019-10-22,93774
2019-10-23,92179
2019-10-24,93223
2019-10-25,93982
2019-10-26,86605
2019-10-27,78584
2019-10-28,85451
2019-10-29,83900
2019-10-30,69235
2019-10-31,58830
2019-11-01,48022
2019-11-02,46404
2019-11-03,47999
2019-11-04,51505
2019-11-05,50095
2019-11-06,48642
2019-11-07,49081
2019-11-08,48647
2019-11-09,45447
2019-11-10,42775
2019-11-11,44640
2019-11-12,44887
2019-11-13,44643
2019-11-14,43214
2019-11-15,115885
2019-11-16,115850
2019-11-17,115216
2019-11-18,115956
2019-11-19,118652
2019-11-20,116693
2019-11-21,119022
2019-11-22,121363
2019-11-23,129480
2019-11-24,135886
2019-11-25,138359
2019-11-26,142840
2019-11-27,172451
2019-11-28,182586
2019-11-29,182106
2019-11-30,190745
2019-12-01,187437
2019-12-02,184702
2019-12-03,174663
2019-12-04,201539
2019-12-05,197944
2019-12-06,192620
2019-12-07,206325
2019-12-08,244945
2019-12-09,265912
2019-12-10,271775
2019-12-11,322912
2019-12-12,344783
2019-12-13,355020
2019-12-14,361103
2019-12-15,352535
2019-12-16,356245
2019-12-17,360943
2019-12-18,360929
2019-12-19,361834
2019-12-20,365055
2019-12-21,359264
2019-12-22,343731
2019-12-23,354137
2019-12-24,368366
2019-12-25,283122
2019-12-26,307568
2019-12-27,270423
2019-12-28,265861
2019-12-29,258272
2019-12-30,270486
2019-12-31,458090
2020-01-01,248339
2020-01-02,289995
2020-01-03,291378
2020-01-04,289585
2020-01-05,314956
2020-01-06,340429
2020-01-07,341079
2020-01-08,336385
2020-01-09,346337
2020-01-10,382894
2020-01-11,383046
2020-01-12,356293
2020-01-13,348208
2020-01-14,395433
2020-01-15,389621
2020-01-16,390372
2020-01-17,386251
2020-01-18,403968
2020-01-19,410295
2020-01-20,407106
2020-01-21,404686
2020-01-22,398216
2020-01-23,407193
2020-01-24,403710
2020-01-25,395623
2020-01-26,388221
2020-01-27,375773
2020-01-28,388392
2020-01-29,407252
2020-01-30,414604
2020-01-31,421230
2020-02-01,408939
2020-02-02,403869
2020-02-03,407364
2020-02-04,404709
2020-02-05,403554
2020-02-06,397179
2020-02-07,418328
2020-02-08,429836
2020-02-09,426379
2020-02-10,422047
2020-02-11,428303
2020-02-12,405924
2020-02-13,399713
2020-02-14,385827
2020-02-15,390119
2020-02-16,387290
2020-02-17,375002
2020-02-18,381091
2020-02-19,377609
2020-02-20,378885
2020-02-21,385842
2020-02-22,390905
2020-02-23,410575
2020-02-24,395917
2020-02-25,433394
2020-02-26,408014
2020-02-27,427282
2020-02-28,422173
2020-02-29,436812
2020-03-01,427375
2020-03-02,409852
2020-03-03,409792
2020-03-04,400526
2020-03-05,395124
2020-03-06,402043
2020-03-07,408296
2020-03-08,399076
2020-03-09,391723
2020-03-10,414717
2020-03-11,440479
2020-03-12,432719
2020-03-13,446072
2020-03-14,428580
2020-03-15,390669
2020-03-16,388119
2020-03-17,373354
2020-03-18,376025
2020-03-19,377161
2020-03-20,372863
2020-03-21,323447
2020-03-22,310184
2020-03-23,327844
2020-03-24,328394
2020-03-25,319689
2020-03-26,316234
2020-03-27,313778
2020-03-28,302763
2020-03-29,296346
2020-03-30,324010
2020-03-31,325226
2020-04-01,319132
2020-04-02,311580
2020-04-03,346378
2020-04-04,355801
2020-04-05,353032
2020-04-06,389038
2020-04-07,368390
2020-04-08,408856
2020-04-09,374976
2020-04-10,344722
2020-04-11,364554
2020-04-12,378248
2020-04-13,410017
2020-04-14,404717
2020-04-15,394496
2020-04-16,373651
2020-04-17,365781
2020-04-18,339425
2020-04-19,327325
2020-04-20,374113
2020-04-21,372715
2020-04-22,369794
2020-04-23,362970
2020-04-24,407510
2020-04-25,397631
2020-04-26,382375
2020-04-27,414008
2020-04-28,405022
2020-04-29,418528
2020-04-30,423509
2020-05-01,312607
2020-05-02,301870
2020-05-03,280729
2020-05-04,312196
2020-05-05,285490
2020-05-06,281238
2020-05-07,274534
2020-05-08,278882
2020-05-09,260990
2020-05-10,256298
2020-05-11,251301
2020-05-12,241932
2020-05-13,236742
2020-05-14,226772
2020-05-15,210703
2020-05-16,240526
2020-05-17,237609
2020-05-18,238058
2020-05-19,236508
2020-05-20,238242
2020-05-21,239985
2020-05-22,242114
2020-05-23,227287
2020-05-24,221947
2020-05-25,231831
2020-05-26,243090
2020-05-27,242057
2020-05-28,237700
2020-05-29,248858
2020-05-30,239759
2020-05-31,233191
2020-06-01,259125
2020-06-02,294209
2020-06-03,280772
2020-06-04,228065
2020-06-05,221476
2020-06-06,210423
2020-06-07,197763
2020-06-08,220039
2020-06-09,194469
2020-06-10,188978
2020-06-11,188461
2020-06-12,197914
2020-06-13,194440
2020-06-14,162563
2020-06-15,188707
2020-06-16,198640
2020-06-17,200131
2020-06-18,202533
2020-06-19,198640
2020-06-20,192014
2020-06-21,180368
2020-06-22,192461
2020-06-23,188894
2020-06-24,187558
2020-06-25,189213
2020-06-26,193930
2020-06-27,188364
2020-06-28,174859
2020-06-29,194518
2020-06-30,194237
2020-07-01,195767
2020-07-02,200133
2020-07-03,224876
2020-07-04,219501
2020-07-05,211493
2020-07-06,229447
2020-07-07,232445
2020-07-08,231904
2020-07-09,230142
2020-07-10,201311
2020-07-11,202231
2020-07-12,189666
2020-07-13,173156
2020-07-14,182377
2020-07-15,177448
2020-07-16,206492
2020-07-17,234318
2020-07-18,265452
2020-07-19,247701
2020-07-20,276305
2020-07-21,240842
2020-07-22,247739
2020-07-23,249829
2020-07-24,218733
2020-07-25,204178
2020-07-26,209006
2020-07-27,198336
2020-07-28,196489
2020-07-29,190619
2020-07-30,187736
2020-07-31,158614
2020-08-01,153315
2020-08-02,151116
2020-08-03,167020
2020-08-04,162562
2020-08-05,177588
2020-08-06,192779
2020-08-07,190451
2020-08-08,186393
2020-08-09,173189
2020-08-10,198930
2020-08-11,201465
2020-08-12,199645
2020-08-13,192788
2020-08-14,193992
2020-08-15,194047
2020-08-16,185072
2020-08-17,204751
2020-08-18,205504
2020-08-19,202722
2020-08-20,203024
2020-08-21,200118
2020-08-22,197888
2020-08-23,187564
2020-08-24,205755
2020-08-25,204984
2020-08-26,222022
2020-08-27,217220
2020-08-28,230125
2020-08-29,250662
2020-08-30,236992
2020-08-31,261757
2020-09-01,244885
2020-09-02,240099
2020-09-03,239326
2020-09-04,260636
2020-09-05,251980
2020-09-06,215280
2020-09-07,230022
2020-09-08,266327
2020-09-09,263191
2020-09-10,243006
2020-09-11,278678
2020-09-12,295704
2020-09-13,263514
2020-09-14,277158
2020-09-15,274314
2020-09-16,301417
2020-09-17,323811
2020-09-18,399535
2020-09-19,381868
2020-09-20,364150
2020-09-21,384611
2020-09-22,390083
2020-09-23,381831
2020-09-24,389517
2020-09-25,425969
2020-09-26,412418
2020-09-27,388130
2020-09-28,421599
2020-09-29,430119
2020-09-30,427006
2020-10-01,425222
2020-10-02,394172
2020-10-03,378655
2020-10-04,360999
2020-10-05,380751
2020-10-06,386244
2020-10-07,386226
2020-10-08,402674
2020-10-09,414516
2020-10-10,390865
2020-10-11,365518
2020-10-12,406303
2020-10-13,429131
2020-10-14,441761
2020-10-15,469617
2020-10-16,470995
2020-10-17,454768
2020-10-18,426362
2020-10-19,462996
2020-10-20,426817
2020-10-21,471019
2020-10-22,450705
2020-10-23,478364
2020-10-24,469091
2020-10-25,404579
2020-10-26,402364
2020-10-27,466872
2020-10-28,438980
2020-10-29,473389
2020-10-30,470895
2020-10-31,450094
2020-11-01,263294
2020-11-02,404403
2020-11-03,428111
2020-11-04,447236
2020-11-05,465797
2020-11-06,432987
2020-11-07,384190
2020-11-08,367630
2020-11-09,355570
2020-11-10,318150
2020-11-11,305564
2020-11-12,274575
2020-11-13,370324
2020-11-14,366938
2020-11-15,353973
2020-11-16,353277
2020-11-17,350126
2020-11-18,362312
2020-11-19,362722
2020-11-20,325024
2020-11-21,313233
2020-11-22,289053
2020-11-23,300093
2020-11-24,307197
2020-11-25,308777
2020-11-26,314432
2020-11-27,304144
2020-11-28,332661
2020-11-29,278217
2020-11-30,299238
2020-12-01,298264
2020-12-02,300674
2020-12-03,302241
2020-12-04,295451
2020-12-05,293191
2020-12-06,270238
2020-12-07,280395
2020-12-08,315041
2020-12-09,330804
2020-12-10,339259
2020-12-11,342666
2020-12-12,335356
2020-12-13,316229
2020-12-14,331205
2020-12-15,328582
2020-12-16,287418
2020-12-17,313786
2020-12-18,309871
2020-12-19,299591
2020-12-20,293925
2020-12-21,303234
2020-12-22,321110
2020-12-23,332449
2020-12-24,376744
2020-12-25,266491
2020-12-26,279472
2020-12-27,268497
2020-12-28,324254
2020-12-29,331310
2020-12-30,337770
2020-12-31,713917
2021-01-01,298535
2021-01-02,290476
2021-01-03,263692
2021-01-04,317349
2021-01-05,312293
2021-01-06,312495
2021-01-07,310623
2021-01-08,313828
2021-01-09,302554
2021-01-10,281500
2021-01-11,300542
2021-01-12,300008
2021-01-13,281276
2021-01-14,245150
2021-01-15,247670
2021-01-16,240659
2021-01-17,222301
2021-01-18,236615
2021-01-19,236434
2021-01-20,236351
2021-01-21,243970
2021-01-22,246376
2021-01-23,241250
